Year,CO2_concentration_per_million
1993,869.636644712
1994,863.100924069
1995,858.225478853
1996,859.062571749
1997,867.379574167
1998,866.162913491
1999,854.147357596
2000,878.764145782
2001,888.096011732
2002,884.272209253
2003,907.525692437
2004,915.658632087
2005,921.000446336
2006,933.0686351749999
2007,944.31222249
2008,943.559581562
2009,898.608884737
2010,916.898994692
2011,907.572218417
2012,907.679407654
2013,893.012832471
2014,890.230155687
2015,901.39953187
2016,899.315594745
2017,908.860531618
