,Year,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty,population_millions,GMSL,CO2_concentration_per_million
0,1993,15.466416666666667,0.0591666666666666,5581597.597999998,90.47162162162162,869.636644712
1,1994,15.534999999999998,0.0585833333333333,5663150.4279999975,89.51621621621621,863.100924069
2,1995,15.637833333333331,0.0604166666666666,5744212.93,87.33472222222223,858.225478853
3,1996,15.524666666666668,0.0595,5824891.931,85.47324324324325,859.062571749
4,1997,15.713833333333334,0.0591666666666666,5905045.647000001,99.44243243243244,867.379574167
5,1998,15.826,0.063,5984794.075,96.97729729729728,866.162913491
6,1999,15.600333333333332,0.0633333333333333,6064239.033,87.76945945945945,854.147357596
7,2000,15.610666666666669,0.0635,6143493.806,86.65729729729729,878.764145782
8,2001,15.7675,0.0645833333333333,6222626.531,84.6883783783784,888.096011732
9,2002,15.829166666666667,0.0629166666666666,6301773.172,85.89527777777779,884.272209253
10,2003,15.826583333333334,0.0643333333333333,6381185.141,87.17891891891891,907.525692437
11,2004,15.75725,0.06125,6461159.391,86.26378378378378,915.658632087
12,2005,15.87925,0.0608333333333333,6541906.956,85.42783783783784,921.000446336
13,2006,15.8135,0.061,6623517.917,86.16138888888887,933.068635175
14,2007,15.827333333333334,0.0590833333333333,6705946.642999997,85.26594594594594,944.31222249
15,2008,15.72125,0.05725,6789088.672,86.83888888888887,943.559581562
16,2009,15.827166666666663,0.0589166666666666,6872766.988,85.63405405405406,898.608884737
17,2010,15.895499999999998,0.0585833333333333,6956823.588,87.8308108108108,916.898994692
18,2011,15.7695,0.059,7041194.168,89.01675675675676,907.572218417
19,2012,15.802333333333335,0.0615,7125827.957,87.51432432432433,907.679407654
20,2013,15.854416666666667,0.0646666666666666,7210582.041,87.7772972972973,893.012832471
21,2014,15.912999999999998,0.0631666666666666,7295290.759,88.42666666666665,890.230155687
22,2015,16.058583333333335,0.0608333333333333,7379796.967,100.5991891891892,901.39953187
