Year,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1993,15.466416666666667,0.059166666666666666
1994,15.534999999999998,0.05858333333333333
1995,15.637833333333333,0.06041666666666667
1996,15.524666666666667,0.0595
1997,15.713833333333334,0.059166666666666666
1998,15.826,0.063
1999,15.600333333333333,0.06333333333333334
2000,15.610666666666667,0.0635
2001,15.7675,0.06458333333333334
2002,15.829166666666667,0.06291666666666666
2003,15.826583333333334,0.06433333333333334
2004,15.757249999999999,0.06125
2005,15.879249999999999,0.06083333333333333
2006,15.8135,0.061
2007,15.827333333333334,0.05908333333333333
2008,15.72125,0.05725
2009,15.827166666666665,0.058916666666666666
2010,15.895499999999998,0.05858333333333333
2011,15.7695,0.059
2012,15.802333333333335,0.0615
2013,15.854416666666667,0.06466666666666666
2014,15.912999999999998,0.06316666666666666
2015,16.058583333333335,0.06083333333333333
